日期,累计净值(元),累计净值(元),净值增长率
2016/4/21,0.879,0.879,-1.457%
2016/4/20,0.892,0.892,-2.086%
2016/4/19,0.911,0.911,0.220%
2016/4/18,0.909,0.909,-0.110%
2016/4/15,0.91,0.91,-0.329%
2016/4/14,0.913,0.913,-0.109%
2016/4/13,0.914,0.914,3.277%
2016/4/12,0.885,0.885,-0.785%
2016/4/11,0.892,0.892,1.134%
2016/4/08,0.882,0.882,-0.451%
2016/4/07,0.886,0.886,-0.673%
2016/4/06,0.892,0.892,0.791%
2016/4/05,0.885,0.885,1.143%
2016/4/01,0.875,0.875,-0.794%
2016/3/31,0.882,0.882,0.456%
2016/3/30,0.878,0.878,2.931%
2016/3/29,0.853,0.853,-0.467%
2016/3/28,0.857,0.857,-0.810%
2016/3/25,0.864,0.864,-0.461%
2016/3/24,0.868,0.868,-1.251%
2016/3/23,0.879,0.879,0.457%
2016/3/22,0.875,0.875,-0.342%
2016/3/21,0.878,0.878,1.503%
2016/3/18,0.865,0.865,3.842%
2016/3/17,0.833,0.833,3.094%
2016/3/16,0.808,0.808,0.373%
2016/3/15,0.805,0.805,-0.740%
2016/3/14,0.811,0.811,2.919%
2016/3/11,0.788,0.788,1.546%
2016/3/10,0.776,0.776,-1.272%
2016/3/09,0.786,0.786,-0.254%
2016/3/08,0.788,0.788,1.546%
2016/3/07,0.776,0.776,0.779%
2016/3/04,0.77,0.77,-2.532%
2016/3/03,0.79,0.79,-0.504%
2016/3/02,0.794,0.794,2.057%
2016/3/01,0.778,0.778,1.434%
2016/2/29,0.767,0.767,-3.279%
2016/2/26,0.793,0.793,-0.377%
2016/2/25,0.796,0.796,-5.012%
2016/2/24,0.838,0.838,-0.238%
2016/2/23,0.84,0.84,-1.408%
2016/2/22,0.852,0.852,1.549%
2016/2/19,0.839,0.839,0.841%
2016/2/18,0.832,0.832,-0.120%
2016/2/17,0.833,0.833,1.709%
2016/2/16,0.819,0.819,5.270%
2016/2/15,0.778,0.778,-0.512%
2016/2/05,0.782,0.782,-2.005%
2016/2/04,0.798,0.798,1.916%
2016/2/03,0.783,0.783,0.256%
2016/2/02,0.781,0.781,1.693%
2016/2/01,0.768,0.768,-0.389%
2016/1/29,0.771,0.771,3.213%
2016/1/28,0.747,0.747,-3.737%
2016/1/27,0.776,0.776,-1.896%
2016/1/26,0.791,0.791,-4.121%
2016/1/25,0.825,0.825,0.121%
2016/1/22,0.824,0.824,1.854%
2016/1/21,0.809,0.809,-2.177%
2016/1/20,0.827,0.827,-0.839%
2016/1/19,0.834,0.834,2.963%
2016/1/18,0.81,0.81,1.631%
2016/1/15,0.797,0.797,-2.805%
2016/1/14,0.82,0.82,3.275%
2016/1/13,0.794,0.794,-3.758%
2016/1/12,0.825,0.825,1.103%
2016/1/11,0.816,0.816,-3.774%
2016/1/08,0.848,0.848,-1.281%
2016/1/07,0.859,0.859,-6.427%
2016/1/06,0.918,0.918,1.101%
2016/1/05,0.908,0.908,-1.625%
2016/1/04,0.923,0.923,-6.294%
2015/12/31,0.985,0.985,-2.185%
2015/12/30,1.007,1.007,0.902%
2015/12/29,0.998,0.998,0.201%
2015/12/28,0.996,0.996,-0.896%
2015/12/25,1.005,1.005,0.802%
2015/12/24,0.997,0.997,0.403%
2015/12/23,0.993,0.993,-0.799%
2015/12/22,1.001,1.001,0.200%
2015/12/21,0.999,0.999,-0.399%
2015/12/18,1.003,1.003,-0.496%
2015/12/17,1.008,1.008,1.408%
2015/12/16,0.994,0.994,2.263%
2015/12/15,0.972,0.972,1.356%
2015/12/14,0.959,0.959,0.209%
2015/12/11,0.957,0.957,-1.846%
2015/12/10,0.975,0.975,0.309%
2015/12/09,0.972,0.972,-1.018%
2015/12/08,0.982,0.982,0.512%
2015/12/07,0.977,0.977,0.618%
2015/12/04,0.971,0.971,0.310%
2015/12/03,0.968,0.968,1.149%
2015/12/02,0.957,0.957,-1.238%
2015/12/01,0.969,0.969,-1.624%
2015/11/30,0.985,0.985,1.861%
2015/11/27,0.967,0.967,-3.009%
2015/11/26,0.997,0.997,0.000%
2015/11/25,0.997,0.997,1.735%
2015/11/24,0.98,0.98,1.135%
2015/11/23,0.969,0.969,-0.717%
2015/11/20,0.976,0.976,1.245%
2015/11/19,0.964,0.964,3.102%
2015/11/18,0.935,0.935,0.000%
2015/11/17,0.935,0.935,-0.638%
2015/11/16,0.941,0.941,2.061%
2015/11/13,0.922,0.922,-3.253%
2015/11/12,0.953,0.953,0.953%
2015/11/11,0.944,0.944,0.963%
2015/11/10,0.935,0.935,0.754%
2015/11/09,0.928,0.928,0.542%
2015/11/06,0.923,0.923,2.102%
2015/11/05,0.904,0.904,-0.659%
2015/11/04,0.91,0.91,3.527%
2015/11/03,0.879,0.879,0.457%
2015/11/02,0.875,0.875,0.114%
2015/10/30,0.874,0.874,1.040%
2015/10/29,0.865,0.865,0.232%
2015/10/28,0.863,0.863,-0.461%
2015/10/27,0.867,0.867,0.814%
2015/10/26,0.86,0.86,1.415%
2015/10/23,0.848,0.848,2.539%
2015/10/22,0.827,0.827,1.722%
2015/10/21,0.813,0.813,-3.673%
2015/10/20,0.844,0.844,0.836%
2015/10/19,0.837,0.837,0.240%
2015/10/16,0.835,0.835,1.458%
2015/10/15,0.823,0.823,3.133%
2015/10/14,0.798,0.798,-1.603%
2015/10/13,0.811,0.811,0.000%
2015/10/12,0.811,0.811,2.399%
2015/10/09,0.792,0.792,0.763%
2015/10/08,0.786,0.786,3.421%
2015/9/30,0.76,0.76,0.662%
2015/9/29,0.755,0.755,0.000%
2015/9/28,0.755,0.755,0.801%
2015/9/25,0.749,0.749,-1.318%
2015/9/24,0.759,0.759,0.132%
2015/9/23,0.758,0.758,-0.263%
2015/9/22,0.76,0.76,-0.524%
2015/9/21,0.764,0.764,0.792%
2015/9/18,0.758,0.758,1.609%
2015/9/17,0.746,0.746,-0.134%
2015/9/16,0.747,0.747,3.320%
2015/9/15,0.723,0.723,-0.276%
2015/9/14,0.725,0.725,-2.685%
2015/9/11,0.745,0.745,0.404%
2015/9/10,0.742,0.742,-0.935%
2015/9/09,0.749,0.749,2.044%
2015/9/08,0.734,0.734,1.521%
2015/9/07,0.723,0.723,0.000%
2015/9/02,0.723,0.723,-0.413%
2015/9/01,0.726,0.726,-2.024%
2015/8/31,0.741,0.741,-2.114%
2015/8/28,0.757,0.757,2.159%
2015/8/27,0.741,0.741,3.347%
2015/8/26,0.717,0.717,-0.278%
2015/8/25,0.719,0.719,-1.776%
2015/8/24,0.732,0.732,-4.935%
2015/8/21,0.77,0.77,-3.630%
2015/8/20,0.799,0.799,-2.798%
2015/8/19,0.822,0.822,0.859%
2015/8/18,0.815,0.815,-4.230%
2015/8/17,0.851,0.851,0.118%
2015/8/14,0.85,0.85,-0.352%
2015/8/13,0.853,0.853,0.947%
2015/8/12,0.845,0.845,-3.539%
2015/8/11,0.876,0.876,-2.123%
2015/8/10,0.895,0.895,2.638%
2015/8/07,0.872,0.872,1.869%
2015/8/06,0.856,0.856,-0.465%
2015/8/05,0.86,0.86,-0.693%
2015/8/04,0.866,0.866,2.728%
2015/8/03,0.843,0.843,-2.543%
2015/7/31,0.865,0.865,-1.143%
2015/7/30,0.875,0.875,-2.344%
2015/7/29,0.896,0.896,1.472%
2015/7/28,0.883,0.883,-2.431%
2015/7/27,0.905,0.905,-5.037%
2015/7/24,0.953,0.953,-1.346%
2015/7/23,0.966,0.966,1.899%
2015/7/22,0.948,0.948,1.066%
2015/7/21,0.938,0.938,0.752%
2015/7/20,0.931,0.931,2.195%
2015/7/17,0.911,0.911,4.114%
2015/7/16,0.875,0.875,1.273%
2015/7/15,0.864,0.864,-4.425%
2015/7/14,0.904,0.904,1.573%
2015/7/13,0.89,0.89,4.829%
2015/7/10,0.849,0.849,3.285%
2015/7/09,0.822,0.822,5.250%
2015/7/08,0.781,0.781,-3.102%
2015/7/07,0.806,0.806,-8.513%
2015/7/06,0.881,0.881,-4.757%
2015/7/03,0.925,0.925,-3.646%
2015/7/02,0.96,0.96,-4.000%
2015/7/01,1,1,-3.382%
2015/6/30,1.035,1.035,2.679%
2015/6/29,1.008,1.008,-6.320%
2015/6/26,1.076,1.076,-6.190%
2015/6/25,1.147,1.147,-4.971%
2015/6/24,1.207,1.207,-0.822%
2015/6/23,1.217,1.217,0.330%
2015/6/19,1.213,1.213,-2.177%
2015/6/18,1.24,1.24,-3.502%
2015/6/17,1.285,1.285,2.472%
2015/6/16,1.254,1.254,-2.564%
2015/6/15,1.287,1.287,-3.955%
2015/6/12,1.34,1.34,1.132%
2015/6/11,1.325,1.325,0.303%
2015/6/10,1.321,1.321,-3.927%
2015/6/05,1.375,1.375,4.722%
2015/5/29,1.313,1.313,-1.868%
2015/5/22,1.338,1.338,7.384%
2015/5/15,1.246,1.246,10.363%
2015/5/08,1.129,1.129,5.811%
2015/4/30,1.067,1.067,3.492%
2015/4/24,1.031,1.031,3.618%
2015/4/17,0.995,0.995,-0.500%
2015/4/15,1,1,-
